NextBus,BusStopCode,Description,ServiceNo,MinutesLeft,Destination,EstimatedArrival,Feature,Load,Monitored,Type,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,WD_FirstBus,WD_LastBus
NextBus,12109,Opp Ngee Ann Poly,52,-0,Jurong East Int,2025-01-23 23:52:16,WAB,SEA,1,SD,0623,0023,0625,0021,0627,0022
NextBus,12101,Ngee Ann Poly,61,0,Bt Batok Int,2025-01-23 23:52:36,WAB,SEA,1,DD,0645,0108,0652,0110,0642,0109
NextBus,12109,Opp Ngee Ann Poly,75,0,Bt Merah Int,2025-01-23 23:52:49,WAB,SEA,1,SD,0548,2350,0546,2350,0552,2351
NextBus,12109,Opp Ngee Ann Poly,154,0,Boon Lay Int,2025-01-23 23:53:26,WAB,SEA,1,SD,0546,0016,0616,0015,0547,0015
NextBus,12109,Opp Ngee Ann Poly,74,1,Buona Vista Ter,2025-01-23 23:53:51,WAB,SEA,1,DD,0605,0030,0559,0024,0609,0027
NextBus,12109,Opp Ngee Ann Poly,151,2,Kent Ridge Ter,2025-01-23 23:55:04,WAB,SEA,1,SD,0635,2347,0634,2351,0639,2354
NextBus,12101,Ngee Ann Poly,52,5,Bishan Int,2025-01-23 23:57:57,WAB,SEA,1,DD,0612,0015,0613,0016,0619,0015
NextBus,12101,Ngee Ann Poly,75,8,Gali Batu Ter,2025-01-24 00:00:52,WAB,SEA,1,SD,0640,0032,0704,0030,0633,0031
NextBus,12101,Ngee Ann Poly,154,20,Eunos Int,2025-01-24 00:13:15,WAB,SEA,1,SD,0601,0057,0637,0055,0604,0053
NextBus2,12101,Ngee Ann Poly,61,7,Bt Batok Int,2025-01-23 23:59:51,WAB,SEA,1,SD,0645,0108,0652,0110,0642,0109
NextBus2,12109,Opp Ngee Ann Poly,154,10,Boon Lay Int,2025-01-24 00:03:16,WAB,SEA,1,SD,0546,0016,0616,0015,0547,0015
NextBus2,12109,Opp Ngee Ann Poly,74,11,Buona Vista Ter,2025-01-24 00:04:04,WAB,SEA,1,SD,0605,0030,0559,0024,0609,0027
NextBus2,12109,Opp Ngee Ann Poly,52,13,Jurong East Int,2025-01-24 00:05:53,WAB,SEA,1,SD,0623,0023,0625,0021,0627,0022
NextBus2,12101,Ngee Ann Poly,52,21,Bishan Int,2025-01-24 00:14:16,WAB,SEA,1,SD,0612,0015,0613,0016,0619,0015
NextBus2,12101,Ngee Ann Poly,75,24,Gali Batu Ter,2025-01-24 00:17:29,WAB,SEA,1,SD,0640,0032,0704,0030,0633,0031
NextBus2,12101,Ngee Ann Poly,154,25,Eunos Int,2025-01-24 00:17:45,WAB,SEA,1,DD,0601,0057,0637,0055,0604,0053
NextBus3,12109,Opp Ngee Ann Poly,74,21,Buona Vista Ter,2025-01-24 00:14:01,WAB,SEA,1,DD,0605,0030,0559,0024,0609,0027
NextBus3,12101,Ngee Ann Poly,61,21,Bt Batok Int,2025-01-24 00:14:08,WAB,SEA,1,SD,0645,0108,0652,0110,0642,0109
NextBus3,12109,Opp Ngee Ann Poly,154,22,Boon Lay Int,2025-01-24 00:14:42,WAB,SEA,1,DD,0546,0016,0616,0015,0547,0015
NextBus3,12109,Opp Ngee Ann Poly,52,28,Jurong East Int,2025-01-24 00:21:11,WAB,SEA,1,SD,0623,0023,0625,0021,0627,0022
NextBus3,12101,Ngee Ann Poly,75,42,Gali Batu Ter,2025-01-24 00:34:38,WAB,SEA,0,SD,0640,0032,0704,0030,0633,0031
